Date,Open,High,Low,Close,Adj Close,Volume
2012-07-27,286,294.350006,282.325012,292.299988,275.792786,6715436
2012-07-30,293.549988,295.950012,292,293.625,277.042969,4233142
2012-07-31,295,295,289.924988,293.875,277.27887,4195704
2012-08-01,292.774994,294.174988,288.799988,293.25,276.689178,3935494
2012-08-02,293.25,294.600006,288.649994,291.25,274.802094,3442730
2012-08-03,290.5,294.5,289.875,294.100006,277.49115,4975750
2012-08-06,296.575012,301,296.5,300.125,283.175903,6164588
2012-08-07,301,301.149994,298.5,300.049988,283.105133,5614382
2012-08-08,300,301,297.350006,299.450012,282.539032,4026558
2012-08-09,300.5,303.5,299.25,302.325012,285.251678,4936560
2012-08-10,300,303.450012,299.825012,301.075012,284.072266,7563710
2012-08-13,300,304.75,300,303.725006,286.572601,4210852
2012-08-14,303.524994,304.5,301.625,304.075012,286.902832,5612784
2012-08-16,304,304.075012,298.924988,300.024994,283.081543,4071648
2012-08-17,299.299988,301.125,295.899994,297.549988,280.746307,3843078
2012-08-21,297.5,299.25,294.100006,298.200012,281.35965,4170420
2012-08-22,297.200012,300.225006,295.674988,298.450012,281.595551,4790430
2012-08-23,299.700012,302.274994,297.625,298.850006,281.972961,4712524
2012-08-24,296.75,300.200012,296.625,298.149994,281.312408,3354188
2012-08-27,297.5,299.450012,296.024994,297.174988,280.392456,2023362
2012-08-28,296.450012,297.274994,293.25,294.674988,278.033661,4447982
2012-08-29,294.625,297.899994,293.125,294.274994,277.65625,3364814
2012-08-30,293,301,293,297.950012,281.123718,11358202
2012-08-31,295.174988,300,294.625,297.674988,280.864227,6253370
2012-09-03,298.774994,298.899994,294,295.225006,278.552643,3718908
2012-09-04,295.274994,296.174988,293.600006,295.049988,278.387482,2886294
2012-09-05,294,298,293.674988,296.049988,279.331024,6079236
2012-09-06,295.049988,296.75,293.049988,294.075012,277.46756,2548726
2012-09-07,297.125,297.5,292.850006,295.200012,278.529022,5602574
2012-09-10,295.75,298.5,294.674988,295.575012,278.882843,3017446
2012-09-11,294.375,298.5,291.674988,297.200012,280.416077,3155772
2012-09-12,297.625,300,296.950012,299.600006,282.680542,3195508
2012-09-13,300.5,300.75,296.774994,299.600006,282.680542,1699880
2012-09-14,303.299988,307.375,300.475006,306.375,289.072968,12885610
2012-09-17,309.5,309.975006,302.75,304.149994,286.973602,10543424
2012-09-18,304.149994,306,301.924988,302.725006,285.62912,5019588
2012-09-20,301,305,300.5,303.450012,286.313141,5245664
2012-09-21,304.350006,314.5,302.549988,312.575012,294.922821,11801424
2012-09-24,312.75,318.450012,311.399994,317.5,299.569702,8787440
2012-09-25,316.5,319.450012,313.075012,318.450012,300.466034,5843072
2012-09-26,317.424988,318.299988,312.075012,315.375,297.564667,5365254
2012-09-27,316.5,318.5,312.600006,315.399994,297.588226,7930872
2012-09-28,315.950012,317.149994,313.049988,314.575012,296.809875,5503844
2012-10-01,314.5,316,310,311.424988,293.837738,4027392
2012-10-03,312,313.399994,308.975006,309.725006,292.233765,5516114
2012-10-04,310.75,316.950012,310.725006,315.649994,297.824127,6326032
2012-10-05,319,319.325012,252.524994,311.200012,293.625488,7473512
2012-10-08,311.950012,311.950012,308.274994,310.350006,292.823486,4645336
2012-10-09,312.475006,315.25,311,312.875,295.205902,2155384
2012-10-10,312,312,308.100006,308.975006,291.526093,2147508
2012-10-11,310.575012,313.899994,309.225006,312.424988,294.781311,4906466
2012-10-12,315,317.5,313,315.575012,297.753357,7753204
2012-10-15,316.200012,317.450012,311.299988,317.075012,299.168671,3786034
2012-10-16,317.625,317.75,314.049988,315.200012,297.399567,3636918
2012-10-17,316,316.25,313.25,314.049988,296.314514,3216886
2012-10-18,315,318.950012,312.225006,318.100006,300.135803,2809230
2012-10-19,316,317.5,313.5,314.25,296.503204,4527700
2012-10-22,312.600006,320,312.600006,319.5,301.456696,4120702
2012-10-23,319.524994,319.75,316.25,317.049988,299.14505,4166480
2012-10-25,316.325012,320.5,314.5,318.674988,300.678314,8505670
