Date,Open,High,Low,Close,Adj Close,Volume,Comp_Social,Neg_Social,Neu_Social,Pos_Social,Comp_News,Pos_News,Neu_News,Neg_News
14-07-2020,332.700012,333.5,319.700012,320.399994,318.170959,3146768,0,0,1,0,0.9976,0.085,0.899,0.016
06-07-2020,365.100006,366,356.100006,359.450012,356.94931,3360559,0,0,1,0,0.9976,0.085,0.899,0.016
19-05-2020,299.799988,320.899994,297.350006,319.200012,316.97934,10540236,0.875,0,0.862,0.138,0.9978,0.082,0.903,0.015
18-05-2020,306,307.350006,291.350006,293.299988,291.259491,3625908,0,0,1,0,0.9978,0.082,0.903,0.015
07-05-2020,271.200012,284.5,268.450012,282.399994,280.435333,6505707,0.8481,0,0.897,0.103,0.9978,0.081,0.905,0.015
06-05-2020,261.100006,273.5,261.100006,270.149994,268.270569,10547916,0,0,1,0,0.9981,0.084,0.902,0.014
05-05-2020,271.700012,271.700012,261.100006,263.100006,261.269623,4866839,0.836,0.031,0.826,0.143,0.9984,0.088,0.898,0.014
30-04-2020,295.049988,296,285.100006,290.100006,288.081787,4675412,0.4019,0,0.787,0.213,0.9985,0.088,0.898,0.014
24-04-2020,273.950012,276.950012,269.549988,270.649994,268.76709,2515755,0,0,1,0,0.9985,0.087,0.9,0.013
09-04-2020,254,254.600006,247.449997,251.899994,250.147522,5290625,0.7269,0,0.809,0.191,0.9986,0.087,0.899,0.013
07-04-2020,254.199997,255.850006,245.600006,248.100006,246.373978,7360798,0.802,0,0.809,0.191,0.9986,0.086,0.901,0.013
01-04-2020,246.050003,247.800003,235.050003,244.800003,243.096924,4034211,-0.9942,0.269,0.674,0.056,0.9987,0.088,0.899,0.013
24-03-2020,216,238.75,212.600006,231.75,230.137711,9694177,0,0,1,0,0.9987,0.087,0.901,0.013
06-01-2020,388,388,374.75,380.200012,373.427979,12482680,0,0,1,0,0.9989,0.088,0.9,0.012
01-01-2020,368,379.25,366,377.649994,370.92337,11377167,0.9153,0,0.842,0.158,0.999,0.091,0.897,0.012
30-12-2019,371,371,363.75,365.950012,359.431793,4732203,0.128,0.046,0.888,0.066,0.999,0.09,0.898,0.012
20-12-2019,370.200012,378,370.200012,372.299988,365.668671,10808900,0.296,0,0.855,0.145,0.999,0.09,0.898,0.012
16-12-2019,377.25,380.450012,366.950012,368.350006,361.789032,3579883,0.4404,0.062,0.792,0.147,0.999,0.09,0.898,0.012
13-11-2019,391,391.799988,369.399994,370.799988,364.195374,5392849,0.6124,0.088,0.745,0.167,0.9992,0.095,0.894,0.011
