Date,Open,High,Low,Close,Adj Close,Volume,Comp_News,Neg_News,Neu_News,Pos_News,Comp_Social,Neg_Social,Neu_Social,Pos_Social
10-01-2020,740.450012,742.900024,730.5,738.150024,706.543518,9341405,1,0.026,0.843,0.131,0.9465,0.054,0.832,0.113
09-01-2020,721.700012,731.5,714.299988,727.549988,696.3974,13521186,1,0.026,0.844,0.131,0.9814,0.026,0.825,0.149
07-01-2020,738,742.599976,725.099976,727.900024,696.732483,7899363,1,0.026,0.844,0.131,0,0,1,0
03-01-2020,733.900024,748,733.900024,746,714.057434,7882938,1,0.026,0.844,0.131,-0.5095,0.049,0.951,0
01-01-2020,735,740,732.549988,736.849976,705.299072,2112415,1,0.026,0.844,0.131,0.4215,0,0.833,0.167
27-12-2019,729.75,737.5,728.849976,736.950012,705.394897,3399094,1,0.026,0.843,0.131,0.5719,0,0.81,0.19
18-12-2019,731,737.299988,722.75,732.450012,701.087585,12215295,1,0.026,0.844,0.131,0.1531,0,0.918,0.082
17-12-2019,719.700012,731.25,715,729.700012,698.455322,10525565,1,0.026,0.844,0.13,0.7964,0,0.936,0.064
13-12-2019,700.349976,712.900024,700.349976,711.299988,680.84314,10302412,1,0.026,0.843,0.131,-0.8902,0.177,0.698,0.124
12-12-2019,718.5,720.700012,699.549988,702.099976,672.037109,11112042,1,0.026,0.843,0.131,0.7783,0.023,0.881,0.097
10-12-2019,713,718.5,710,714.549988,683.953979,4457939,1,0.026,0.842,0.132,0.4019,0,0.95,0.05
05-12-2019,706.450012,715.900024,703.799988,714.849976,684.241089,4814422,1,0.026,0.842,0.131,0,0,1,0
04-12-2019,697,710.5,693.349976,708.849976,678.498108,7427886,1,0.026,0.842,0.131,0.6597,0,0.81,0.19
03-12-2019,692.700012,699.700012,688.549988,698.349976,668.447693,5239013,1,0.026,0.842,0.131,0.8807,0,0.758,0.242
26-11-2019,705,707.25,686,690.599976,661.02948,27253106,1,0.026,0.842,0.132,0.4019,0,0.942,0.058
22-11-2019,711.75,712,685.099976,693.200012,663.518188,14415826,1,0.027,0.842,0.132,0.9807,0,0.83,0.17
21-11-2019,715.5,721.450012,710.5,713.25,682.709717,9692973,1,0.028,0.841,0.131,0.2023,0.029,0.927,0.044
18-11-2019,705,710,699.299988,705.200012,675.004395,7490916,1,0.027,0.841,0.131,0.0772,0,0.952,0.048
14-11-2019,696.349976,709.799988,696.349976,705.299988,675.100098,10539902,1,0.028,0.841,0.131,0.4019,0,0.922,0.078
13-11-2019,696.5,700,687.75,691.349976,661.747314,9973690,1,0.028,0.841,0.131,-0.4939,0.19,0.694,0.116
11-11-2019,698.900024,707.200012,698,704.400024,674.238647,6951494,1,0.029,0.841,0.131,0.1695,0,0.868,0.132
07-11-2019,717,724.349976,712.099976,720.099976,689.266418,13733737,1,0.028,0.841,0.131,-0.7184,0.232,0.637,0.131
06-11-2019,695.799988,721.5,692,712.299988,681.800354,21372589,1,0.03,0.84,0.131,0.2359,0.082,0.829,0.089
05-11-2019,708.75,708.75,691.5,696.099976,666.294006,12897805,1,0.031,0.839,0.13,-0.276,0.09,0.841,0.069
04-11-2019,681.799988,732.5,678.150024,709,678.641663,29381982,1,0.031,0.838,0.131,0.1447,0.071,0.874,0.055
01-11-2019,690,694,682.599976,687.900024,658.44519,9713519,1,0.031,0.838,0.131,0.8945,0.059,0.724,0.217
31-10-2019,668.400024,695.450012,666.099976,685.599976,656.243591,27405901,1,0.031,0.838,0.131,0.9231,0.043,0.849,0.109
30-10-2019,660.400024,671.400024,656.200012,660.599976,632.314026,22879467,1,0.031,0.837,0.132,0.4019,0,0.954,0.046
27-10-2019,651.099976,652.5,645.549988,648.849976,621.0672,2945281,1,0.031,0.837,0.132,0.4966,0.068,0.816,0.116
25-10-2019,647,652.5,636,637.450012,610.155396,16549337,1,0.032,0.838,0.131,0.8402,0,0.771,0.229
24-10-2019,650,653.200012,632,635.349976,608.145264,25666433,1,0.032,0.838,0.13,-0.7506,0.132,0.766,0.103
23-10-2019,630,656.650024,615.099976,650.599976,622.742188,60516887,1,0.034,0.836,0.13,0.9871,0.081,0.792,0.126
22-10-2019,691.099976,691.099976,638.349976,643.549988,608.33667,90152532,1,0.034,0.835,0.13,0.9986,0.066,0.821,0.113
18-10-2019,763.799988,773.799988,760,767.849976,718.273071,10037200,1,0.035,0.834,0.131,0.743,0.018,0.912,0.069
16-10-2019,765.25,775.950012,761.549988,771.450012,721.640686,10767032,1,0.035,0.834,0.131,-0.1298,0.102,0.813,0.085
15-10-2019,773.099976,775.950012,765,768.299988,718.694031,13762133,1,0.035,0.834,0.132,0.7458,0.041,0.853,0.105
14-10-2019,786.75,797,780,786.099976,735.344788,15150858,1,0.035,0.834,0.132,0.8779,0,0.858,0.142
11-10-2019,781.5,823.799988,776.599976,814.799988,762.191711,20636344,1,0.035,0.833,0.133,0.9244,0.042,0.838,0.12
10-10-2019,785.400024,794.700012,776.599976,783.049988,732.491638,10402917,1,0.034,0.833,0.133,0,0,1,0
09-10-2019,795.450012,795.900024,778.799988,783.650024,733.052917,6335025,1,0.034,0.833,0.133,0.3818,0,0.965,0.035
07-10-2019,794.849976,802,786.099976,789.549988,738.572021,3679845,1,0.034,0.833,0.133,0.4019,0,0.93,0.07
04-10-2019,790,797.599976,787.049988,793.450012,742.220215,8201713,1,0.034,0.833,0.133,0,0,1,0
30-09-2019,785.099976,808,784.150024,805.650024,753.632507,8178091,1,0.034,0.833,0.133,-0.2144,0.079,0.875,0.046
24-09-2019,765,798.650024,765,794.049988,742.781494,13717998,1,0.034,0.833,0.133,0.9695,0.018,0.842,0.14
23-09-2019,806.900024,806.900024,741.900024,764.349976,714.999084,17279260,1,0.034,0.833,0.133,0.8548,0.023,0.879,0.098
20-09-2019,822.900024,835,802,805,753.024414,22462366,1,0.035,0.832,0.133,-0.1935,0.097,0.854,0.05
13-09-2019,818.099976,831.049988,817.5,829.299988,775.755493,4832021,1,0.034,0.832,0.134,0.291,0.041,0.878,0.081
06-09-2019,843.299988,847,835.049988,840.150024,785.904907,6106841,1,0.034,0.831,0.136,0.836,0.056,0.839,0.105
05-09-2019,830.099976,837.5,826.650024,834.049988,780.198853,7926895,1,0.034,0.831,0.136,-0.4588,0.156,0.763,0.08
03-09-2019,815,822.400024,812.049988,814.25,761.677185,5647088,1,0.034,0.831,0.136,0.7964,0,0.858,0.142
30-08-2019,810,817.349976,802,814.900024,762.285278,8174186,1,0.034,0.831,0.136,-0.6808,0.107,0.893,0
23-08-2019,796.450012,809.950012,795.799988,802.200012,750.405273,6895015,1,0.033,0.831,0.136,0.5267,0.041,0.847,0.112
21-08-2019,793,803.75,793,799.450012,747.832825,5926896,1,0.033,0.831,0.136,0.3736,0.043,0.874,0.082
16-08-2019,780,780.049988,762.5,774.549988,724.540466,5128088,1,0.033,0.831,0.136,0.4404,0,0.932,0.068
06-08-2019,778.799988,783.700012,769.799988,774.450012,724.44696,9331718,1,0.033,0.832,0.135,0,0,1,0
02-08-2019,765.049988,779.900024,762.25,775.599976,725.522644,10838336,1,0.033,0.831,0.135,0.8074,0,0.847,0.153
31-07-2019,790.849976,799.799988,781.599976,793.650024,742.407288,7350584,1,0.033,0.832,0.135,0.8331,0,0.819,0.181
30-07-2019,791.900024,797.799988,788.549988,792.700012,741.518677,8673253,1,0.033,0.832,0.135,-0.7717,0.116,0.848,0.035
26-07-2019,792.299988,795,782.200012,787,736.186584,4941763,1,0.033,0.832,0.135,-0.5106,0.076,0.924,0
18-07-2019,789.049988,798.5,786.200012,792.700012,741.518677,6534471,1,0.033,0.832,0.135,-0.5423,0.053,0.947,0
17-07-2019,783.900024,795,776.75,794.150024,742.875,6754348,1,0.033,0.832,0.135,0,0,1,0
16-07-2019,777,787.799988,776,784.849976,734.175476,9924322,1,0.033,0.83,0.136,0.6369,0,0.898,0.102
15-07-2019,763,781.650024,754.200012,779.349976,729.030518,31064152,1,0.033,0.83,0.137,-0.7452,0.086,0.857,0.057
12-07-2019,722.5,730.599976,719.599976,726.75,679.826721,7874441,1,0.033,0.831,0.136,0.9958,0.028,0.842,0.13
11-07-2019,719.450012,723.5,709.599976,721.5,674.91571,6252688,1,0.033,0.831,0.136,-0.1027,0.052,0.905,0.043
10-07-2019,709,722.700012,706.5,717.25,670.940125,7573816,1,0.033,0.831,0.137,0.6808,0,0.804,0.196
08-07-2019,716.450012,724.950012,712.299988,717.599976,671.267517,7177092,1,0.033,0.831,0.136,0.5574,0,0.953,0.047
05-07-2019,735,736.400024,713.5,718,671.641785,4926289,1,0.033,0.831,0.136,0.8144,0.059,0.821,0.12
03-07-2019,741,743.200012,730,731.299988,684.082947,5958379,1,0.033,0.831,0.136,0.6582,0.054,0.836,0.11
02-07-2019,734,741.650024,730.099976,740,692.221313,4837606,1,0.033,0.831,0.136,0.765,0,0.515,0.485
25-06-2019,744,750.900024,737.299988,748.099976,699.798279,3677911,1,0.033,0.831,0.136,0,0,1,0
24-06-2019,751.900024,751.900024,742.650024,745.5,697.36615,4758178,1,0.033,0.831,0.136,0.3818,0,0.776,0.224
19-06-2019,752.5,755.400024,748.599976,751.900024,703.352844,4596253,1,0.033,0.83,0.136,0,0,1,0
13-06-2019,740,747.200012,740,742.650024,694.700134,4808577,1,0.033,0.83,0.137,0.3818,0,0.92,0.08
10-06-2019,740.099976,754.099976,740.099976,753.5,695.031494,4435148,1,0.033,0.83,0.137,0,0,1,0
06-06-2019,736.5,744.650024,733.650024,735.599976,678.520447,7563925,1,0.033,0.83,0.137,0,0,1,0
03-06-2019,729.799988,750.900024,729,744.650024,686.868225,7744761,1,0.033,0.831,0.137,-0.4019,0.374,0.468,0.158
31-05-2019,736.5,742.950012,733.200012,737.75,680.503601,8290306,1,0.033,0.831,0.137,0.4019,0,0.748,0.252
29-05-2019,725.5,733.650024,723.650024,727.799988,671.325562,10293077,1,0.033,0.831,0.137,0.2023,0.117,0.741,0.142
28-05-2019,712,733.450012,709.799988,728.099976,671.602295,23860490,1,0.033,0.831,0.137,0.3182,0,0.909,0.091
22-05-2019,710,718.25,707,709.75,654.676331,5795713,1,0.033,0.831,0.137,-0.5423,0.231,0.769,0
17-05-2019,733.150024,735.799988,720.099976,723.900024,667.728271,8155948,1,0.032,0.831,0.137,0.4939,0,0.682,0.318
16-05-2019,720,737,719.099976,733.099976,676.214417,6468556,1,0.032,0.831,0.136,0.3612,0,0.815,0.185
13-05-2019,716.549988,726.450012,712.099976,719.700012,663.854187,6808993,1,0.032,0.832,0.136,0.1027,0.096,0.822,0.082
07-05-2019,720.400024,727.900024,718.700012,724.549988,668.32782,5747536,1,0.032,0.832,0.136,0.4019,0,0.722,0.278
03-05-2019,722.900024,731,718.200012,723.599976,667.451477,6348116,1,0.032,0.832,0.136,-0.296,0.121,0.879,0
30-04-2019,738,753.799988,738,751.349976,693.048279,9920046,1,0.032,0.832,0.136,0.7672,0.07,0.743,0.188
26-04-2019,731,739.799988,729,738,680.734192,6895168,1,0.032,0.832,0.136,0.6874,0,0.679,0.321
